product_brand,product_title,product_model,product_url,product_price,product_price_original,product_discount,product_discount_percentage,product_rating_average,product_reviews_number,product_rating_5,product_rating_4,product_rating_3,product_rating_2,product_rating_1
Sealy,Hybrid Premium Silver Chill 14in. Plush Hybrid Tight Top King Mattress,Model # 52504861,https://www.homedepot.com/p/Sealy-Hybrid-Premium-Silver-Chill-14in-Plush-Hybrid-Tight-Top-King-Mattress-52504861/304774618,2799.0,2799.0,0.0,0.0,5.0,1,1,0,0,0,0
Sealy,STEARNS & FOSTER Cassatt Lux Estate 14.5 in. Luxury Firm Memory Foam Tight Top Queen Mattress,Model # 52798351,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Cassatt-Lux-Estate-14-5-in-Luxury-Firm-Memory-Foam-Tight-Top-Queen-Mattress-52798351/320129449,2699.0,2699.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Cassatt Lux Estate 14.5 in. Luxury Firm Memory Foam Tight Top King Mattress Set,Model # 42798361,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Cassatt-Lux-Estate-14-5-in-Luxury-Firm-Memory-Foam-Tight-Top-King-Mattress-Set-42798361/320159646,3749.0,3749.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Essentials 10 in. Medium Hybrid Smooth Top Queen Mattress in a Box,Model # F03-00135-QN0,https://www.homedepot.com/p/Sealy-Essentials-10-in-Medium-Hybrid-Smooth-Top-Queen-Mattress-in-a-Box-F03-00135-QN0/310170954,699.99,699.99,0.0,0.0,4.14,28,15,8,1,2,2
Sealy,STEARNS & FOSTER Cassatt Lux Estate 16 in. Luxury Ultra Plush Memory Foam Euro Pillow Top California King Mattress Set,Model # 42798762,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Cassatt-Lux-Estate-16-in-Luxury-Ultra-Plush-Memory-Foam-Euro-Pillow-Top-California-King-Mattress-Set-42798762/320159899,4049.0,4049.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Cassatt Lux Estate 13.5 in. Luxury Ultra Firm Memory Foam Tight Top Queen Mattress,Model # 52798251,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Cassatt-Lux-Estate-13-5-in-Luxury-Ultra-Firm-Memory-Foam-Tight-Top-Queen-Mattress-52798251/320129291,2699.0,2699.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Cool and Clean 8 in. Medium Memory Foam Twin XL Mattress,Model # F03-00178-TX0,https://www.homedepot.com/p/Sealy-Cool-and-Clean-8-in-Medium-Memory-Foam-Twin-XL-Mattress-F03-00178-TX0/319713815,629.99,629.99,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Netherton 12 in. Firm Memory Foam Tight Top Queen Mattress,Model # 52957151,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-12-in-Firm-Memory-Foam-Tight-Top-Queen-Mattress-52957151/317666242,699.99,699.99,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Engelmann 11 in. Ultra Firm Memory Foam Tight Top Queen Mattress,Model # 52958751,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Engelmann-11-in-Ultra-Firm-Memory-Foam-Tight-Top-Queen-Mattress-52958751/317666263,1794.49,1794.49,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Cassatt Lux Estate 15 in. Luxury Firm Memory Foam Euro Pillow Top Queen Mattress,Model # 52798551,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Cassatt-Lux-Estate-15-in-Luxury-Firm-Memory-Foam-Euro-Pillow-Top-Queen-Mattress-52798551/320130930,2999.0,2999.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Plus 14 in. Plush Memory Innerspring Tight Top Queen Mattress Set,Model # 42769251,https://www.homedepot.com/p/Sealy-Posturepedic-Plus-14-in-Plush-Memory-Innerspring-Tight-Top-Queen-Mattress-Set-42769251/315094897,2078.7,2078.7,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 16 in. Luxury Ultra Plush Memory Foam Hybrid King Mattress Set,Model # 42799061,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-16-in-Luxury-Ultra-Plush-Memory-Foam-Hybrid-King-Mattress-Set-42799061/320160011,4649.0,4649.0,0.0,0.0,0.0,0,0,0,0,0,0
