product_brand,product_title,product_model,product_url,product_price,product_price_original,product_discount,product_discount_percentage,product_rating_average,product_reviews_number,product_rating_5,product_rating_4,product_rating_3,product_rating_2,product_rating_1
GE,"27.0 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",Model # GNE27JYMFS,https://www.homedepot.com/p/GE-27-0-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GNE27JYMFS/320243591,2158.0,2399.0,241.0,10.05,4.6,4854,3236,1130,306,95,87
GE,17.5 cu. ft. Top Freezer Refrigerator in Stainless Steel,Model # GTS18GSNRSS,https://www.homedepot.com/p/GE-17-5-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-GTS18GSNRSS/311936897,808.0,899.0,91.0,10.12,4.4,2601,1636,605,195,70,95
GE,"19.2 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GIE19JSNRSS,https://www.homedepot.com/p/GE-19-2-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GIE19JSNRSS/312293333,1198.0,1329.0,131.0,9.86,4.0,176,82,46,17,17,14
GE,"25.6 cu. ft. French-Door Refrigerator in Black Slate, Fingerprint Resistant and ENERGY STAR",Model # GFE26JEMDS,https://www.homedepot.com/p/GE-25-6-cu-ft-French-Door-Refrigerator-in-Black-Slate-Fingerprint-Resistant-and-ENERGY-STAR-GFE26JEMDS/304923652,2518.0,2799.0,281.0,10.04,4.24,5391,3034,1400,460,222,275
GE,"21.9 cu. ft. Side by Side Refrigerator in Stainless Steel, Counter Depth",Model # GZS22DSJSS,https://www.homedepot.com/p/GE-21-9-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-Counter-Depth-GZS22DSJSS/206114941,2428.0,2699.0,271.0,10.04,3.9,1000,391,285,161,96,67
GE,"23.6 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless, Standard Depth ENERGY STAR",Model # GFE24JYKFS,https://www.homedepot.com/p/GE-23-6-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Standard-Depth-ENERGY-STAR-GFE24JYKFS/319240166,2518.0,2799.0,281.0,10.04,4.3,2928,1646,735,230,127,190
GE,"36 in. 25.3 cu. ft. Side by Side Refrigerator in Black, Standard Depth",Model # GSE25GGPBB,https://www.homedepot.com/p/GE-36-in-25-3-cu-ft-Side-by-Side-Refrigerator-in-Black-Standard-Depth-GSE25GGPBB/318454875,1618.0,1799.0,181.0,10.06,4.3,2155,1251,524,173,102,105
GE,"17.5 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GIE18GSNRSS,https://www.homedepot.com/p/GE-17-5-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GIE18GSNRSS/312036565,968.0,1079.0,111.0,10.29,4.25,586,330,147,61,22,26
GE,"24.7 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",Model # GNE25JYKFS,https://www.homedepot.com/p/GE-24-7-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GNE25JYKFS/319236498,1888.0,2099.0,211.0,10.05,4.6,4687,3145,1137,230,91,84
GE,19.2 Cu. Ft. Top Freezer Refrigerator in Fingerprint Resistant Stainless Steel,Model # GTS19KYNRFS,https://www.homedepot.com/p/GE-19-2-Cu-Ft-Top-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-GTS19KYNRFS/319881478,948.0,1049.0,101.0,9.63,4.4,785,476,202,52,28,27
